nfl_id,player_name,player_position,targets,contested_targets,contested_target_rate,contested_catch_rate,contested_croe,overall_croe_v3,avg_crp,avg_crp_at_release,avg_crp_flight_delta,release_share,flight_share,median_sep_at_throw,avg_air_yards,quadrant,low_sample
39973,DeAndre Hopkins,WR,110.0,33.0,0.3,0.4242,-0.0509,-0.0242,0.3247,0.0663,0.2583,0.2043,0.7957,2.4439,14.7,Can't separate,False
39989,Robert Woods,WR,59.0,12.0,0.2034,0.3333,-0.1401,-0.0889,0.2323,0.0411,0.1912,0.177,0.823,2.993,10.8136,Uncontested filler,True
40011,Travis Kelce,TE,96.0,16.0,0.1667,0.4375,-0.0403,0.0157,0.1632,0.0356,0.1276,0.2181,0.7819,3.5004,7.8333,Uncontested filler,False
40024,Keenan Allen,WR,128.0,21.0,0.1641,0.5714,0.0725,0.0124,0.175,0.0466,0.1285,0.266,0.734,3.0464,10.6172,Efficient separator,False
40488,Adam Thielen,WR,122.0,25.0,0.2049,0.64,0.1142,0.0456,0.2104,0.0447,0.1657,0.2126,0.7874,2.793,8.4016,Efficient separator,False
41233,Mike Evans,WR,118.0,24.0,0.2034,0.5,0.0923,0.0467,0.2707,0.0239,0.2468,0.0885,0.9115,2.4152,14.4322,Efficient separator,False
41238,Odell Beckham,WR,55.0,12.0,0.2182,0.6667,0.2038,0.0326,0.2296,0.0699,0.1597,0.3045,0.6955,2.5636,13.4909,Efficient separator,True
41246,Brandin Cooks,WR,67.0,24.0,0.3582,0.7083,0.1268,0.0529,0.3289,0.0426,0.2863,0.1294,0.8706,2.8104,11.5522,Trusted contested winner,False
41282,Davante Adams,WR,150.0,23.0,0.1533,0.4783,-0.0258,-0.036,0.2027,0.0365,0.1662,0.18,0.82,2.6632,10.9933,Uncontested filler,False
41349,Logan Thomas,TE,68.0,17.0,0.25,0.4706,-0.0736,0.0436,0.2704,0.0721,0.1983,0.2666,0.7334,3.3794,6.5588,Can't separate,False
42347,Amari Cooper,WR,107.0,33.0,0.3084,0.4848,0.0828,0.0598,0.339,0.076,0.2631,0.2241,0.7759,2.5533,13.5607,Trusted contested winner,False
42357,DeVante Parker,WR,47.0,17.0,0.3617,0.4706,-0.0217,-0.0028,0.3792,0.1439,0.2353,0.3794,0.6206,2.302,13.3191,Can't separate,False
42412,Tyler Lockett,WR,97.0,21.0,0.2165,0.619,0.0867,0.0448,0.2362,0.0259,0.2103,0.1097,0.8903,3.8908,11.4845,Efficient separator,False
42489,Stefon Diggs,WR,123.0,28.0,0.2276,0.5,-0.0423,0.0151,0.2389,0.0577,0.1812,0.2415,0.7585,2.6303,10.6992,Can't separate,False
42547,Darren Waller,TE,68.0,13.0,0.1912,0.6154,0.043,0.0023,0.2007,0.0493,0.1514,0.2456,0.7544,3.1364,7.8824,Efficient separator,True
43324,Hunter Henry,TE,56.0,16.0,0.2857,0.5625,0.1341,0.0455,0.3561,0.0834,0.2727,0.2342,0.7658,2.7239,8.6607,Trusted contested winner,False
43336,Michael Thomas,WR,56.0,20.0,0.3571,0.6,0.1851,0.0412,0.3647,0.0745,0.2902,0.2042,0.7958,2.9922,9.875,Trusted contested winner,False
43344,Tyler Boyd,WR,74.0,18.0,0.2432,0.5,-0.0097,0.0285,0.2693,0.0223,0.247,0.0828,0.9172,2.8307,7.7973,Can't separate,False
43399,Tyler Higbee,TE,59.0,9.0,0.1525,0.7778,0.2161,-0.006,0.1878,0.0413,0.1465,0.2201,0.7799,4.2261,6.6441,Efficient separator,True
43454,Tyreek Hill,WR,128.0,28.0,0.2188,0.5,0.0021,0.0187,0.2408,0.0286,0.2122,0.1186,0.8814,2.7984,13.6641,Uncontested filler,False
44820,Christian McCaffrey,RB,57.0,5.0,0.0877,0.4,,0.0923,0.1162,0.0186,0.0976,0.1597,0.8403,4.4279,3.3684,Insufficient contested targets,True
44835,Evan Engram,TE,112.0,16.0,0.1429,0.6875,0.0994,0.0433,0.174,0.032,0.142,0.1839,0.8161,3.5532,6.1786,Efficient separator,False
44841,David Njoku,TE,96.0,24.0,0.25,0.4167,-0.0798,-0.0538,0.2462,0.0723,0.1739,0.2937,0.7063,4.3603,5.8125,Can't separate,False
44849,Zay Jones,WR,53.0,11.0,0.2075,0.4545,0.0118,-0.0518,0.2728,0.0391,0.2337,0.1432,0.8568,3.3201,12.8491,Uncontested filler,True
44852,Curtis Samuel,WR,66.0,17.0,0.2576,0.6471,0.0434,0.0054,0.2676,0.0708,0.1968,0.2646,0.7354,3.2434,8.0,Trusted contested winner,False
44856,Gerald Everett,TE,57.0,5.0,0.0877,0.6,,-0.0637,0.0804,0.0226,0.0578,0.2816,0.7184,4.7409,4.9649,Insufficient contested targets,True
44879,Alvin Kamara,RB,64.0,5.0,0.0781,0.6,,0.0564,0.1173,0.0109,0.1064,0.0932,0.9068,6.7404,1.4375,Insufficient contested targets,True
44881,Cooper Kupp,WR,83.0,16.0,0.1928,0.4375,-0.018,-0.0128,0.2089,0.0259,0.1829,0.1242,0.8758,3.2456,9.0482,Uncontested filler,False
44896,Chris Godwin Jr.,WR,103.0,23.0,0.2233,0.6087,0.0915,0.0471,0.2398,0.0492,0.1906,0.2052,0.7948,3.0332,10.4078,Trusted contested winner,False
44912,Jonnu Smith,TE,54.0,11.0,0.2037,0.3636,-0.0648,0.0167,0.2071,0.0529,0.1542,0.2554,0.7446,4.1454,7.0556,Uncontested filler,True
44927,Samaje Perine,RB,44.0,1.0,0.0227,1.0,,0.0766,0.0348,0.018,0.0169,0.5159,0.4841,8.2951,0.75,Insufficient contested targets,True
44930,Josh Reynolds,WR,55.0,13.0,0.2364,0.6923,0.052,0.0054,0.2602,0.0463,0.2139,0.178,0.822,2.2589,12.1273,Trusted contested winner,True
44959,George Kittle,TE,83.0,16.0,0.1928,0.625,0.0142,-0.0215,0.2126,0.034,0.1786,0.1599,0.8401,4.22,9.7831,Uncontested filler,False
