nfl_id,player_name,player_position,pos_group,targets,catches,catch_rate,avg_crp,high_pressure_pct,expected_catch_rate,avg_air_yards,avg_yards,croe,pos_rank,overall_rank
54613,Khalil Shakir,WR,WR,39,33,0.8462,0.1012,0.1282,0.6842,17.0579,13.3333,0.1619,1,1
45244,Taysom Hill,QB,Other,35,31,0.8857,0.0635,0.0571,0.7489,13.0711,8.0286,0.1368,1,2
52433,Brandon Aiyuk,WR,WR,96,74,0.7708,0.0943,0.0938,0.6386,20.5131,14.1146,0.1323,2,3
53518,Nico Collins,WR,WR,85,65,0.7647,0.1087,0.0824,0.6478,19.6578,13.6118,0.1169,3,4
53579,Kenneth Gainwell,RB,RB,30,28,0.9333,0.035,0.0333,0.8213,10.111,5.6,0.1121,1,5
53439,DeVonta Smith,WR,WR,91,68,0.7473,0.1477,0.0989,0.6366,21.0779,11.1758,0.1106,4,6
52451,Cole Kmet,TE,TE,76,64,0.8421,0.081,0.0658,0.7333,14.338,8.8289,0.1088,1,7
42363,Nelson Agholor,WR,WR,36,29,0.8056,0.102,0.1111,0.6999,17.735,9.5278,0.1057,5,8
46093,DJ Moore,WR,WR,104,77,0.7404,0.1223,0.125,0.6348,20.6486,12.2692,0.1056,6,9
55943,Tucker Kraft,TE,TE,33,28,0.8485,0.0395,0.0606,0.7494,13.1985,10.0909,0.0991,2,10
55887,Jordan Addison,WR,WR,88,66,0.75,0.1088,0.0795,0.6575,18.9974,10.2159,0.0925,7,11
41246,Brandin Cooks,WR,WR,67,50,0.7463,0.1366,0.1791,0.6543,18.9601,9.3284,0.0919,8,12
43415,Demarcus Robinson,WR,WR,33,25,0.7576,0.035,0.0,0.6659,18.7964,11.0,0.0917,9,13
55959,Michael Wilson,WR,WR,49,35,0.7143,0.1668,0.1633,0.6227,19.2243,10.8776,0.0916,10,14
52430,Justin Jefferson,WR,WR,85,61,0.7176,0.1284,0.1529,0.6271,20.3825,12.3176,0.0905,11,15
44927,Samaje Perine,RB,RB,44,42,0.9545,0.0106,0.0,0.8651,7.6164,8.5227,0.0895,2,16
43584,Kalif Raymond,WR,WR,33,25,0.7576,0.0867,0.0606,0.6682,18.0942,11.2424,0.0893,12,17
53555,Chuba Hubbard,RB,RB,38,36,0.9474,0.0158,0.0,0.8642,6.7495,6.0263,0.0832,3,18
54520,Trey McBride,TE,TE,82,66,0.8049,0.0922,0.0488,0.7232,14.8794,8.3537,0.0816,3,19
42412,Tyler Lockett,WR,WR,97,72,0.7423,0.0869,0.0722,0.6607,18.9546,9.0412,0.0816,13,20
52425,CeeDee Lamb,WR,WR,164,125,0.7622,0.1189,0.0976,0.6809,17.1893,10.4695,0.0813,14,21
41290,Allen Robinson,WR,WR,39,32,0.8205,0.0734,0.0769,0.74,13.8308,6.8974,0.0806,15,22
47834,A.J. Brown,WR,WR,136,101,0.7426,0.1235,0.0956,0.6643,19.4735,10.4265,0.0784,16,23
43454,Tyreek Hill,WR,WR,128,91,0.7109,0.087,0.0547,0.6346,20.3095,12.6328,0.0763,17,24
54556,Rachaad White,RB,RB,52,48,0.9231,0.01,0.0,0.8497,7.9877,7.7885,0.0734,4,25
46797,Tanner Hudson,TE,TE,44,36,0.8182,0.1194,0.0909,0.7472,12.5143,8.0227,0.071,4,26
53453,Najee Harris,RB,RB,30,27,0.9,0.0816,0.0667,0.8303,7.6147,5.4667,0.0697,5,27
52474,Antonio Gibson,RB,RB,41,37,0.9024,0.0167,0.0244,0.8342,9.1456,7.0732,0.0683,6,28
55889,Dalton Kincaid,TE,TE,78,65,0.8333,0.0462,0.0256,0.7655,12.8333,7.9359,0.0678,5,29
46155,Mark Andrews,TE,TE,54,41,0.7593,0.136,0.1111,0.6924,15.7337,9.9074,0.0668,6,30
