nfl_id,player_name,player_position,targets,catches,catch_rate,avg_crp,high_pressure_pct,avg_air_yards,expected_catch_rate,avg_yards,croe_v3,rank
46093,DJ Moore,WR,104,77,0.7404,0.3169,0.3077,13.0865,0.6231,12.2692,0.1173,1
46797,Tanner Hudson,TE,44,36,0.8182,0.24,0.2045,6.3182,0.7161,8.0227,0.1021,2
53518,Nico Collins,WR,85,65,0.7647,0.2492,0.1882,12.6118,0.6642,13.6118,0.1005,3
55959,Michael Wilson,WR,49,35,0.7143,0.2901,0.3469,11.551,0.6203,10.8776,0.094,4
44820,Christian McCaffrey,RB,57,50,0.8772,0.1162,0.0877,3.3684,0.7849,7.7018,0.0923,5
54556,Rachaad White,RB,52,48,0.9231,0.0417,0.0192,0.8846,0.8381,7.7885,0.085,6
41290,Allen Robinson,WR,39,32,0.8205,0.1668,0.1282,6.2821,0.7357,6.8974,0.0848,7
52442,Michael Pittman,WR,115,88,0.7652,0.244,0.2261,8.487,0.6845,8.5391,0.0807,8
52430,Justin Jefferson,WR,85,61,0.7176,0.3022,0.3176,13.5412,0.6376,12.3176,0.0801,9
44927,Samaje Perine,RB,44,42,0.9545,0.0348,0.0227,0.75,0.878,8.5227,0.0766,10
43415,Demarcus Robinson,WR,33,25,0.7576,0.1667,0.1515,11.0,0.6833,11.0,0.0743,11
53579,Kenneth Gainwell,RB,30,28,0.9333,0.0405,0.0333,1.5,0.8592,5.6,0.0742,12
52425,CeeDee Lamb,WR,164,125,0.7622,0.2615,0.2622,10.2683,0.6903,10.4695,0.0719,13
45185,Kendrick Bourne,WR,45,33,0.7333,0.1946,0.1778,11.9333,0.6646,8.7333,0.0687,14
52474,Antonio Gibson,RB,41,37,0.9024,0.0697,0.0732,1.7317,0.8347,7.0732,0.0677,15
54716,Isiah Pacheco,RB,32,28,0.875,0.0113,0.0,-0.75,0.8085,5.3125,0.0665,16
54553,Jalen Tolbert,WR,30,19,0.6333,0.2618,0.1667,14.2333,0.5694,8.2333,0.064,17
52451,Cole Kmet,TE,76,64,0.8421,0.177,0.1711,6.9474,0.779,8.8289,0.0632,18
52433,Brandon Aiyuk,WR,96,74,0.7708,0.2054,0.2083,13.7188,0.7085,14.1146,0.0624,19
54613,Khalil Shakir,WR,39,33,0.8462,0.1999,0.2051,10.2821,0.7849,13.3333,0.0613,20
42347,Amari Cooper,WR,107,71,0.6636,0.339,0.3084,13.5607,0.6038,11.5047,0.0598,21
53555,Chuba Hubbard,RB,38,36,0.9474,0.0247,0.0263,-0.5789,0.8883,6.0263,0.059,22
