nfl_id,player_name,player_position,targets,catches,catch_rate,avg_crp,high_pressure_pct,avg_air_yards,expected_catch_rate,avg_yards,croe_v3,rank
46279,Braxton Berrios,WR,28,25,0.8929,0.2119,0.1429,6.75,0.7258,8.7143,0.1671,1
48471,Trenton Irwin,WR,27,23,0.8519,0.2844,0.2593,9.4074,0.7182,11.3333,0.1336,2
46093,DJ Moore,WR,104,77,0.7404,0.3169,0.3077,13.0865,0.6231,12.2692,0.1173,3
53518,Nico Collins,WR,85,65,0.7647,0.2492,0.1882,12.6118,0.6642,13.6118,0.1005,4
55959,Michael Wilson,WR,49,35,0.7143,0.2901,0.3469,11.551,0.6203,10.8776,0.094,5
41290,Allen Robinson,WR,39,32,0.8205,0.1668,0.1282,6.2821,0.7357,6.8974,0.0848,6
52442,Michael Pittman,WR,115,88,0.7652,0.244,0.2261,8.487,0.6845,8.5391,0.0807,7
52430,Justin Jefferson,WR,85,61,0.7176,0.3022,0.3176,13.5412,0.6376,12.3176,0.0801,8
43415,Demarcus Robinson,WR,33,25,0.7576,0.1667,0.1515,11.0,0.6833,11.0,0.0743,9
52425,CeeDee Lamb,WR,164,125,0.7622,0.2615,0.2622,10.2683,0.6903,10.4695,0.0719,10
54967,Brandon Johnson,WR,26,18,0.6923,0.2521,0.2308,12.0769,0.6224,10.7692,0.0699,11
45185,Kendrick Bourne,WR,45,33,0.7333,0.1946,0.1778,11.9333,0.6646,8.7333,0.0687,12
54553,Jalen Tolbert,WR,30,19,0.6333,0.2618,0.1667,14.2333,0.5694,8.2333,0.064,13
52433,Brandon Aiyuk,WR,96,74,0.7708,0.2054,0.2083,13.7188,0.7085,14.1146,0.0624,14
54613,Khalil Shakir,WR,39,33,0.8462,0.1999,0.2051,10.2821,0.7849,13.3333,0.0613,15
42347,Amari Cooper,WR,107,71,0.6636,0.339,0.3084,13.5607,0.6038,11.5047,0.0598,16
54473,Drake London,WR,96,65,0.6771,0.2646,0.2708,12.1354,0.6183,9.25,0.0588,17
55928,Marvin Mims Jr.,WR,20,13,0.65,0.4661,0.45,23.8,0.5924,16.7,0.0576,18
42363,Nelson Agholor,WR,36,29,0.8056,0.1897,0.1667,10.4167,0.7488,9.5278,0.0568,19
