nfl_id,player_name,player_position,targets,catches,catch_rate,avg_crp,high_pressure_pct,avg_air_yards,expected_catch_rate,avg_yards,croe_v3,rank
46118,Dallas Goedert,TE,15,10,0.6667,0.306,0.2667,15.4,0.4916,12.2,0.1751,1
55133,Rashid Shaheed,WR,22,15,0.6818,0.3454,0.3182,31.5455,0.5315,23.0,0.1504,2
53556,Kylen Granson,TE,15,9,0.6,0.3937,0.5333,20.4,0.4559,14.8,0.1441,3
54473,Drake London,WR,46,32,0.6957,0.2971,0.3043,19.5217,0.5574,14.0217,0.1382,4
53506,Josh Palmer,WR,23,15,0.6522,0.4483,0.3913,20.8261,0.5161,18.6522,0.1361,5
55959,Michael Wilson,WR,27,18,0.6667,0.2658,0.2963,16.5926,0.5322,14.7037,0.1344,6
52430,Justin Jefferson,WR,52,37,0.7115,0.3239,0.3654,19.2115,0.5939,16.4231,0.1176,7
53518,Nico Collins,WR,44,33,0.75,0.3096,0.2045,19.4773,0.6329,19.6818,0.1171,8
44835,Evan Engram,TE,18,10,0.5556,0.5258,0.4444,15.7222,0.439,9.6667,0.1166,9
46109,Courtland Sutton,WR,34,23,0.6765,0.4237,0.4118,21.5588,0.5694,15.0588,0.1071,10
42347,Amari Cooper,WR,61,37,0.6066,0.3882,0.3443,19.623,0.4997,15.6557,0.1068,11
52425,CeeDee Lamb,WR,64,45,0.7031,0.3414,0.3438,19.4531,0.5977,16.1719,0.1054,12
43336,Michael Thomas,WR,19,12,0.6316,0.48,0.5263,17.6842,0.5422,12.0,0.0894,13
54553,Jalen Tolbert,WR,15,7,0.4667,0.3126,0.2667,22.7333,0.3774,10.9333,0.0892,14
53435,Jaylen Waddle,WR,42,30,0.7143,0.3468,0.4048,18.619,0.6317,14.381,0.0826,15
55965,Tre Tucker,WR,19,12,0.6316,0.2807,0.3158,26.2105,0.5503,15.7368,0.0813,16
44896,Chris Godwin Jr.,WR,45,29,0.6444,0.2744,0.2667,17.3111,0.5698,12.4222,0.0747,17
52536,Gabe Davis,WR,38,23,0.6053,0.3105,0.2895,21.2632,0.5307,14.1579,0.0745,18
52433,Brandon Aiyuk,WR,60,44,0.7333,0.2781,0.3,18.4,0.6613,17.4333,0.072,19
55944,Josh Downs,WR,18,11,0.6111,0.2388,0.3333,19.8889,0.5428,16.7778,0.0683,20
48097,Jakobi Meyers,WR,46,27,0.587,0.3651,0.3696,15.7391,0.52,10.3913,0.0669,21
55915,Jayden Reed,WR,34,19,0.5588,0.3321,0.2941,23.0,0.4919,15.3824,0.0669,22
55884,Jaxon Smith-Njigba,WR,20,13,0.65,0.322,0.35,20.95,0.5838,13.3,0.0662,23
41238,Odell Beckham,WR,28,15,0.5357,0.251,0.2143,21.1429,0.4725,12.4286,0.0633,24
52423,Jerry Jeudy,WR,35,20,0.5714,0.3329,0.2857,23.8,0.5091,13.6286,0.0623,25
54481,Jahan Dotson,WR,28,17,0.6071,0.373,0.3214,17.0,0.546,10.5357,0.0611,26
55938,Jalin Hyatt,WR,18,8,0.4444,0.6061,0.6667,32.2222,0.3856,15.2222,0.0589,27
46226,Tyler Conklin,TE,18,11,0.6111,0.314,0.2778,18.1111,0.5544,13.5556,0.0567,28
46093,DJ Moore,WR,51,31,0.6078,0.3528,0.3333,20.7255,0.5518,13.902,0.056,29
53434,Ja'Marr Chase,WR,47,29,0.617,0.3633,0.3404,19.6383,0.5648,15.0426,0.0522,30
46155,Mark Andrews,TE,18,13,0.7222,0.2887,0.3333,14.3333,0.672,15.0,0.0503,31
40011,Travis Kelce,TE,33,23,0.697,0.217,0.2424,15.0,0.6468,14.9394,0.0501,32
53439,DeVonta Smith,WR,44,30,0.6818,0.2718,0.25,22.5682,0.6347,15.8636,0.0471,33
56024,Dontayvion Wicks,WR,26,18,0.6923,0.1846,0.1923,15.3462,0.6492,14.0385,0.0431,34
56042,Puka Nacua,WR,55,34,0.6182,0.2922,0.3091,17.8909,0.5782,14.1091,0.04,35
47819,Deebo Samuel Sr.,WR,24,17,0.7083,0.2858,0.4167,17.2917,0.6694,16.7917,0.0389,36
44852,Curtis Samuel,WR,19,14,0.7368,0.3407,0.3158,17.9474,0.6995,15.8421,0.0374,37
54594,Jake Ferguson,TE,19,11,0.5789,0.4383,0.4211,16.9474,0.5422,12.6842,0.0368,38
53541,Amon-Ra St. Brown,WR,44,31,0.7045,0.2177,0.1818,17.9545,0.6682,17.0682,0.0364,39
44930,Josh Reynolds,WR,36,24,0.6667,0.2703,0.2778,15.8611,0.6309,13.3056,0.0357,40
44881,Cooper Kupp,WR,25,11,0.44,0.3774,0.4,20.6,0.4049,13.36,0.0351,41
46130,D.J. Chark,WR,33,20,0.6061,0.3261,0.2424,20.6061,0.5716,13.0606,0.0345,42
54517,George Pickens,WR,50,30,0.6,0.3109,0.32,18.7,0.566,16.48,0.034,43
41233,Mike Evans,WR,66,34,0.5152,0.337,0.2879,21.8333,0.4848,13.7273,0.0303,44
47834,A.J. Brown,WR,57,36,0.6316,0.3547,0.2982,20.4737,0.6043,14.3509,0.0272,45
45185,Kendrick Bourne,WR,18,8,0.4444,0.2581,0.2222,22.9444,0.4189,8.3333,0.0255,46
46116,Christian Kirk,WR,32,19,0.5938,0.2596,0.2188,18.75,0.5691,14.6562,0.0247,47
55887,Jordan Addison,WR,46,29,0.6304,0.3359,0.3261,19.1304,0.6078,14.1087,0.0226,48
46206,Dalton Schultz,TE,27,15,0.5556,0.2716,0.2593,15.7407,0.5366,10.5556,0.019,49
53456,Rashod Bateman,WR,26,14,0.5385,0.3175,0.2692,21.7692,0.5219,8.3462,0.0165,50
43454,Tyreek Hill,WR,77,54,0.7013,0.2487,0.2468,19.7662,0.6851,18.0649,0.0162,51
52451,Cole Kmet,TE,16,11,0.6875,0.2767,0.3125,19.75,0.6723,17.8125,0.0152,52
42357,DeVante Parker,WR,25,13,0.52,0.3943,0.4,21.04,0.5068,10.0,0.0132,53
